game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
GAME-ID,Season that this data sets belongs to.,"Game 
Date","Away Team's
Five-Men Lineup
(Players On The Court)
1","Away Team's
Five-Men Lineup
(Players On The Court)
2","Away Team's
Five-Men Lineup
(Players On The Court)
3","Away Team's
Five-Men Lineup
(Players On The Court)
4","Away Team's
Five-Men Lineup
(Players On The Court)
5","Home Team's
Five-Men Lineup
(Players On The Court)
1","Home Team's
Five-Men Lineup
(Players On The Court)
2","Home Team's
Five-Men Lineup
(Players On The Court)
3","Home Team's
Five-Men Lineup
(Players On The Court)
4","Home Team's
Five-Men Lineup
(Players On The Court)
5",Period of the game that the the event described in that row actually occurred.,Accumulated score of away team at that moment in the game,Accumulated score of home team at that moment in the game,Remaining time in the period,Time passed since the period has started.,Duration of the event described in that row.,All events in a game has an id number,The team that has executed the described event,"Various types of events (fouls, freethrows, turnovers etc.)",The player who made the assist if the event is an assisted field goal.,Player of away team who is participating in a jumpball,Player of home team who is participating in a jumpball,Player who blocked a shot,Player who checks in the game,Player who checks out the game,"Freethrows in an order (first, second, third...)",Player who has drawn a foul.,How many free throws are going to be shoot,Player who made this event,Points scored within the event,Player who grabbed the ball after an event.,More details on how the event happened,Shot made or missed,Player who steals the ball,Various types of events occurs in a game,Shot distance (feet),X axis value of the shot,Y axis value of the shot,"X axis value converted to X coordinate on an standard NBA court 
(94 feet long and 50 feet wide)","Y axis value converted to Y coordinate on an standard NBA court 
(94 feet long and 50 feet wide)",Description of the play
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,2,DEN,jump ball,,Bam Adebayo,Nikola Jokic,,,,,,,Nikola Jokic,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Jokic vs. Adebayo: Tip to Murray
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,0,0,0:11:43,0:00:17,0:00:17,3,DEN,turnover,,,,,,,,,,Jamal Murray,,,bad pass,,Bam Adebayo,bad pass,,,,,,Murray Bad Pass Turnover (P1.T1): Adebayo STEAL (1 STL)
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,0,0:11:39,0:00:21,0:00:04,4,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,dunk,2,5,17,24.5,6.7,Adebayo 2' Running Dunk (2 PTS)
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,0,0:11:28,0:00:32,0:00:11,5,DEN,turnover,,,,,,,,,,Michael Porter Jr.,,,traveling,,,traveling,,,,,,Porter Jr. Traveling Turnover (P1.T2)
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,0,0:11:08,0:00:52,0:00:20,6,MIA,shot,,,,,,,,,,Gabe Vincent,0,,,missed,,driving floating bank jump shot,5,-51,9,30.1,5.9,MISS Vincent 5' Driving Floating Bank Jump Shot
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,0,0:11:06,0:00:54,0:00:02,7,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,0,0:10:58,0:01:02,0:00:08,8,DEN,shot,,,,,,,,,,Aaron Gordon,0,,,missed,,cutting layup shot,3,-14,27,23.6,86.3,MISS Gordon 3' Cutting Layup Shot
42200405,2022-23 Playoffs,6/12/23,Bam Adebayo,Gabe Vincent,Max Strus,Jimmy Butler,Kevin Love,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,0,0:10:57,0:01:03,0:00:01,9,MIA,rebound,,,,,,,,,,Max Strus,,,,,,rebound defensive,,,,,,Strus REBOUND (Off:0 Def:1)
